Veld;Invullen
Use case naam;
Proces / team;
Beoogde waarde;
Gebruikersgroep;
Betrokken personen of klanten;
Dataklassen gebruikt;
Verboden of gevoelige data uitgesloten?;
AI-tool / leverancier;
Risiconiveau laag/middel/hoog;
Mogelijke foutimpact;
Menselijke reviewstap;
Stopcriteria;
Proceseigenaar;
Reviewer;
Bewijs dat wordt bewaard;
Eerste evaluatiedatum;
Besluit starten/borgen/later/niet starten;
Toelichting besluit;
