Processtap;Responsible;Accountable;Consulted;Informed;Bewijs / artefact;Reviewmoment
Use case intake;;;;;;
Waarde-risicotriage;;;;;;
Dataclassificatie;;;;;;
Tool- en leverancierscheck;;;;;;
Prompt- en outputrichtlijn;;;;;;
Menselijke review;;;;;;
Logging en audit trail;;;;;;
Incidentmelding;;;;;;
Wijziging of herbeoordeling;;;;;;
Go/no-go besluit;;;;;;
