dpo_notifications	dpo_notifications_assessment_id_fkey	FOREIGN KEY	assessment_id		
dpo_notifications	dpo_notifications_org_id_fkey	FOREIGN KEY	org_id		
dpo_notifications	dpo_notifications_pkey	PRIMARY KEY	id		
incidents	2200_90079_1_not_null	CHECK			
incidents	2200_90079_2_not_null	CHECK			
incidents	2200_90079_4_not_null	CHECK			
incidents	2200_90079_5_not_null	CHECK			
incidents	2200_90079_6_not_null	CHECK			
incidents	2200_90079_7_not_null	CHECK			
incidents	2200_90079_9_not_null	CHECK			
incidents	incidents_output_used_check	CHECK			
incidents	incidents_assessment_id_fkey	FOREIGN KEY	assessment_id		
incidents	incidents_dpo_reviewed_by_fkey	FOREIGN KEY	dpo_reviewed_by		
incidents	incidents_org_id_fkey	FOREIGN KEY	org_id		
incidents	incidents_reported_by_fkey	FOREIGN KEY	reported_by		
incidents	incidents_pkey	PRIMARY KEY	id		
learning_answers	2200_28082_1_not_null	CHECK			
learning_answers	2200_28082_2_not_null	CHECK			
learning_answers	2200_28082_3_not_null	CHECK			
learning_answers	2200_28082_4_not_null	CHECK			
learning_answers	2200_28082_5_not_null	CHECK			
learning_answers	learning_answers_lesson_id_fkey	FOREIGN KEY	lesson_id		
learning_answers	learning_answers_org_id_fkey	FOREIGN KEY	org_id		
learning_answers	learning_answers_question_id_fkey	FOREIGN KEY	question_id		
learning_answers	learning_answers_user_id_fkey	FOREIGN KEY	user_id		
learning_answers	learning_answers_pkey	PRIMARY KEY	id		
learning_answers	unique_user_question_attempt	UNIQUE	attempt_number		
learning_answers	unique_user_question_attempt	UNIQUE	user_id		
learning_answers	unique_user_question_attempt	UNIQUE	question_id		
learning_catalog	2200_25623_1_not_null	CHECK			
learning_catalog	2200_25623_2_not_null	CHECK			
learning_catalog	2200_25623_3_not_null	CHECK			
learning_catalog	learning_catalog_library_item_id_fkey	FOREIGN KEY	library_item_id		
learning_catalog	learning_catalog_org_id_fkey	FOREIGN KEY	org_id		
learning_catalog	learning_catalog_pkey	PRIMARY KEY	id		
learning_catalog	learning_catalog_org_id_library_item_id_key	UNIQUE	org_id		
learning_catalog	learning_catalog_org_id_library_item_id_key	UNIQUE	library_item_id		
learning_catalog	unique_org_library_item	UNIQUE	org_id		
learning_catalog	unique_org_library_item	UNIQUE	library_item_id		
learning_library	2200_25590_12_not_null	CHECK			
learning_library	2200_25590_17_not_null	CHECK			
learning_library	2200_25590_1_not_null	CHECK			
learning_library	2200_25590_2_not_null	CHECK			
learning_library	learning_library_created_by_fkey	FOREIGN KEY	created_by		
learning_library	learning_library_lesson_id_fkey	FOREIGN KEY	lesson_id		
learning_library	learning_library_org_id_fkey	FOREIGN KEY	org_id		
learning_library	learning_library_pkey	PRIMARY KEY	id		
learning_questions	2200_28047_1_not_null	CHECK			
learning_questions	2200_28047_3_not_null	CHECK			
learning_questions	2200_28047_4_not_null	CHECK			
learning_questions	2200_28047_5_not_null	CHECK			
learning_questions	2200_28047_6_not_null	CHECK			
learning_questions	2200_28047_9_not_null	CHECK			
learning_questions	learning_questions_points_check	CHECK			
learning_questions	learning_questions_created_by_fkey	FOREIGN KEY	created_by		
learning_questions	learning_questions_lesson_id_fkey	FOREIGN KEY	lesson_id		
learning_questions	learning_questions_org_id_fkey	FOREIGN KEY	org_id		
learning_questions	learning_questions_pkey	PRIMARY KEY	id		
lesson_attempts	2200_22161_10_not_null	CHECK			
lesson_attempts	2200_22161_12_not_null	CHECK			
lesson_attempts	2200_22161_1_not_null	CHECK			
lesson_attempts	2200_22161_2_not_null	CHECK			
lesson_attempts	2200_22161_3_not_null	CHECK			
lesson_attempts	2200_22161_4_not_null	CHECK			
lesson_attempts	lesson_attempts_lesson_id_fkey	FOREIGN KEY	lesson_id		
lesson_attempts	lesson_attempts_org_id_fkey	FOREIGN KEY	org_id		
lesson_attempts	lesson_attempts_pkey	PRIMARY KEY	id		
lesson_attempts	unique_user_lesson_attempt	UNIQUE	attempt_number		
lesson_attempts	unique_user_lesson_attempt	UNIQUE	user_id		
lesson_attempts	unique_user_lesson_attempt	UNIQUE	lesson_id		
lessons	2200_17537_12_not_null	CHECK			
lessons	2200_17537_1_not_null	CHECK			
lessons	2200_17537_2_not_null	CHECK			
lessons	2200_17537_4_not_null	CHECK			
lessons	2200_17537_5_not_null	CHECK			
lessons	lessons_created_by_fkey	FOREIGN KEY	created_by		
lessons	lessons_org_id_fkey	FOREIGN KEY	org_id		
lessons	lessons_pkey	PRIMARY KEY	id		
model_typekaart_updates	2200_87653_1_not_null	CHECK			
model_typekaart_updates	2200_87653_2_not_null	CHECK			
model_typekaart_updates	2200_87653_3_not_null	CHECK			
model_typekaart_updates	model_typekaart_updates_approved_by_fkey	FOREIGN KEY	approved_by		
