public	incidents	idx_incidents_severity	CREATE INDEX idx_incidents_severity ON public.incidents USING btree (severity)
public	incidents	incidents_pkey	CREATE UNIQUE INDEX incidents_pkey ON public.incidents USING btree (id)
public	learning_answers	idx_learning_answers_lesson	CREATE INDEX idx_learning_answers_lesson ON public.learning_answers USING btree (lesson_id)
public	learning_answers	idx_learning_answers_question	CREATE INDEX idx_learning_answers_question ON public.learning_answers USING btree (question_id)
public	learning_answers	idx_learning_answers_user	CREATE INDEX idx_learning_answers_user ON public.learning_answers USING btree (user_id)
public	learning_answers	learning_answers_pkey	CREATE UNIQUE INDEX learning_answers_pkey ON public.learning_answers USING btree (id)
public	learning_answers	unique_user_question_attempt	CREATE UNIQUE INDEX unique_user_question_attempt ON public.learning_answers USING btree (user_id, question_id, attempt_number)
public	learning_catalog	idx_learning_catalog_enabled	CREATE INDEX idx_learning_catalog_enabled ON public.learning_catalog USING btree (is_enabled)
public	learning_catalog	idx_learning_catalog_is_enabled	CREATE INDEX idx_learning_catalog_is_enabled ON public.learning_catalog USING btree (is_enabled)
public	learning_catalog	idx_learning_catalog_library	CREATE INDEX idx_learning_catalog_library ON public.learning_catalog USING btree (library_item_id)
public	learning_catalog	idx_learning_catalog_library_item_id	CREATE INDEX idx_learning_catalog_library_item_id ON public.learning_catalog USING btree (library_item_id)
public	learning_catalog	idx_learning_catalog_org	CREATE INDEX idx_learning_catalog_org ON public.learning_catalog USING btree (org_id)
public	learning_catalog	idx_learning_catalog_org_id	CREATE INDEX idx_learning_catalog_org_id ON public.learning_catalog USING btree (org_id)
public	learning_catalog	idx_learning_catalog_priority	CREATE INDEX idx_learning_catalog_priority ON public.learning_catalog USING btree (priority)
public	learning_catalog	learning_catalog_org_id_library_item_id_key	CREATE UNIQUE INDEX learning_catalog_org_id_library_item_id_key ON public.learning_catalog USING btree (org_id, library_item_id)
public	learning_catalog	learning_catalog_pkey	CREATE UNIQUE INDEX learning_catalog_pkey ON public.learning_catalog USING btree (id)
public	learning_catalog	unique_org_library_item	CREATE UNIQUE INDEX unique_org_library_item ON public.learning_catalog USING btree (org_id, library_item_id)
public	learning_library	idx_learning_library_content_type	CREATE INDEX idx_learning_library_content_type ON public.learning_library USING btree (content_type)
public	learning_library	idx_learning_library_difficulty	CREATE INDEX idx_learning_library_difficulty ON public.learning_library USING btree (difficulty_level)
public	learning_library	idx_learning_library_org	CREATE INDEX idx_learning_library_org ON public.learning_library USING btree (org_id)
public	learning_library	idx_learning_library_required_for_license	CREATE INDEX idx_learning_library_required_for_license ON public.learning_library USING gin (required_for_license)
public	learning_library	idx_learning_library_status	CREATE INDEX idx_learning_library_status ON public.learning_library USING btree (status)
public	learning_library	learning_library_pkey	CREATE UNIQUE INDEX learning_library_pkey ON public.learning_library USING btree (id)
public	learning_questions	idx_learning_questions_lesson	CREATE INDEX idx_learning_questions_lesson ON public.learning_questions USING btree (lesson_id)
public	learning_questions	idx_learning_questions_order	CREATE INDEX idx_learning_questions_order ON public.learning_questions USING btree (lesson_id, order_index)
public	learning_questions	idx_learning_questions_type	CREATE INDEX idx_learning_questions_type ON public.learning_questions USING btree (question_type)
public	learning_questions	learning_questions_pkey	CREATE UNIQUE INDEX learning_questions_pkey ON public.learning_questions USING btree (id)
public	lesson_attempts	idx_lesson_attempts_lesson	CREATE INDEX idx_lesson_attempts_lesson ON public.lesson_attempts USING btree (lesson_id)
public	lesson_attempts	idx_lesson_attempts_user_lesson	CREATE INDEX idx_lesson_attempts_user_lesson ON public.lesson_attempts USING btree (user_id, lesson_id)
public	lesson_attempts	lesson_attempts_pkey	CREATE UNIQUE INDEX lesson_attempts_pkey ON public.lesson_attempts USING btree (id)
public	lesson_attempts	unique_user_lesson_attempt	CREATE UNIQUE INDEX unique_user_lesson_attempt ON public.lesson_attempts USING btree (user_id, lesson_id, attempt_number)
public	lessons	idx_lessons_published	CREATE INDEX idx_lessons_published ON public.lessons USING btree (is_published)
public	lessons	idx_lessons_type	CREATE INDEX idx_lessons_type ON public.lessons USING btree (lesson_type)
public	lessons	lessons_pkey	CREATE UNIQUE INDEX lessons_pkey ON public.lessons USING btree (id)
public	model_typekaart_updates	model_typekaart_updates_pkey	CREATE UNIQUE INDEX model_typekaart_updates_pkey ON public.model_typekaart_updates USING btree (id)
public	model_typekaarten	idx_model_typekaarten_canonical	CREATE INDEX idx_model_typekaarten_canonical ON public.model_typekaarten USING btree (canonical_id)
public	model_typekaarten	idx_model_typekaarten_status	CREATE INDEX idx_model_typekaarten_status ON public.model_typekaarten USING btree (status)
public	model_typekaarten	model_typekaarten_canonical_id_key	CREATE UNIQUE INDEX model_typekaarten_canonical_id_key ON public.model_typekaarten USING btree (canonical_id)
public	model_typekaarten	model_typekaarten_pkey	CREATE UNIQUE INDEX model_typekaarten_pkey ON public.model_typekaarten USING btree (id)
public	org_notifications	idx_org_notifications_created	CREATE INDEX idx_org_notifications_created ON public.org_notifications USING btree (created_at DESC)
public	org_notifications	idx_org_notifications_org	CREATE INDEX idx_org_notifications_org ON public.org_notifications USING btree (org_id)
public	org_notifications	idx_org_notifications_unread	CREATE INDEX idx_org_notifications_unread ON public.org_notifications USING btree (org_id, is_read) WHERE (is_read = false)
public	org_notifications	org_notifications_pkey	CREATE UNIQUE INDEX org_notifications_pkey ON public.org_notifications USING btree (id)
public	org_tool_policy	org_tool_policy_pkey	CREATE UNIQUE INDEX org_tool_policy_pkey ON public.org_tool_policy USING btree (org_id, tool_code)
public	org_tools_catalog	idx_org_tools_catalog_org_id	CREATE INDEX idx_org_tools_catalog_org_id ON public.org_tools_catalog USING btree (org_id)
public	org_tools_catalog	idx_org_tools_catalog_typekaart	CREATE INDEX idx_org_tools_catalog_typekaart ON public.org_tools_catalog USING btree (typekaart_id)
public	org_tools_catalog	org_tools_catalog_org_id_tool_name_key	CREATE UNIQUE INDEX org_tools_catalog_org_id_tool_name_key ON public.org_tools_catalog USING btree (org_id, tool_name)
public	org_tools_catalog	org_tools_catalog_pkey	CREATE UNIQUE INDEX org_tools_catalog_pkey ON public.org_tools_catalog USING btree (id)
public	organizations	organizations_pkey	CREATE UNIQUE INDEX organizations_pkey ON public.organizations USING btree (id)
public	organizations	organizations_scoreboard_slug_key	CREATE UNIQUE INDEX organizations_scoreboard_slug_key ON public.organizations USING btree (scoreboard_slug)
public	organizations	organizations_slug_key	CREATE UNIQUE INDEX organizations_slug_key ON public.organizations USING btree (slug)
public	passport_identity	passport_identity_org_id_key	CREATE UNIQUE INDEX passport_identity_org_id_key ON public.passport_identity USING btree (org_id)
public	passport_identity	passport_identity_pkey	CREATE UNIQUE INDEX passport_identity_pkey ON public.passport_identity USING btree (id)
public	profiles	idx_profiles_ai_rijbewijs	CREATE INDEX idx_profiles_ai_rijbewijs ON public.profiles USING btree (has_ai_rijbewijs)
public	profiles	profiles_pkey	CREATE UNIQUE INDEX profiles_pkey ON public.profiles USING btree (id)
public	ref_account_type	ref_account_type_pkey	CREATE UNIQUE INDEX ref_account_type_pkey ON public.ref_account_type USING btree (code)
public	ref_ai_frequency	ref_ai_frequency_pkey	CREATE UNIQUE INDEX ref_ai_frequency_pkey ON public.ref_ai_frequency USING btree (code)
public	ref_catalog_beheerstatus	ref_catalog_beheerstatus_pkey	CREATE UNIQUE INDEX ref_catalog_beheerstatus_pkey ON public.ref_catalog_beheerstatus USING btree (code)
public	ref_context	ref_context_pkey	CREATE UNIQUE INDEX ref_context_pkey ON public.ref_context USING btree (code)
public	ref_data_type	ref_data_type_pkey	CREATE UNIQUE INDEX ref_data_type_pkey ON public.ref_data_type USING btree (code)
public	ref_department	ref_department_pkey	CREATE UNIQUE INDEX ref_department_pkey ON public.ref_department USING btree (code)
public	ref_eu_ai_act_flag	ref_eu_ai_act_flag_pkey	CREATE UNIQUE INDEX ref_eu_ai_act_flag_pkey ON public.ref_eu_ai_act_flag USING btree (code)
public	ref_governance_flag	ref_governance_flag_pkey	CREATE UNIQUE INDEX ref_governance_flag_pkey ON public.ref_governance_flag USING btree (code)
public	ref_no_ai_reason	ref_no_ai_reason_pkey	CREATE UNIQUE INDEX ref_no_ai_reason_pkey ON public.ref_no_ai_reason USING btree (code)
public	ref_org_policy_status	ref_org_policy_status_pkey	CREATE UNIQUE INDEX ref_org_policy_status_pkey ON public.ref_org_policy_status USING btree (code)
public	ref_review_trigger	ref_review_trigger_pkey	CREATE UNIQUE INDEX ref_review_trigger_pkey ON public.ref_review_trigger USING btree (code)
